name,artists,release_date,danceability,energy,valence,acousticness,speechiness,instrumentalness,duration_ms,score,percentile,already_charted_in_tw
I Wouldn't Lie to You,['Relick'],2016-03-04,0.69,0.455,0.6509999999999999,0.000164,0.0333,0.0924,170733,0.8299367767433452,99.95468623334511,False
Def con Dos - 1ª parte,['Def Con Dos'],1989-02-17,0.878,0.291,0.37,0.0288,0.192,0.0784,162160,0.8298023851448963,99.95454765913516,False
Antoine,['Charlie Hunter'],2010-01-12,0.612,0.57,0.659,0.0704,0.157,0.0962,193027,0.8296379872941649,99.9544090849252,False
Record Player Mama,['Joe Price'],1999-01-01,0.802,0.288,0.919,0.638,0.0689,0.0894,164733,0.8295959891300739,99.95427051071525,False
Time of Year,['Opus Orange'],2011-12-02,0.76,0.395,0.675,0.184,0.0384,0.0877,133029,0.8295822923843754,99.95413193650529,False
Utilize,['David Geathers'],2020-09-22,0.821,0.506,0.805,0.0168,0.0363,0.0748,89625,0.8295599892454687,99.95399336229535,False
Delilah,['Koos'],1986-06-06,0.728,0.706,0.662,0.0178,0.0938,0.0894,118770,0.8294756944887729,99.9538547880854,False
WHEN I GROW UP,['Yaeji'],2020-04-02,0.693,0.478,0.7490000000000001,0.0257,0.195,0.08,162459,0.8294583033053654,99.95371621387544,False
I'm Tired of Truckin' My Blues Away - Remastered - 1996,['Sonny Boy Williamson I'],1997-01-27,0.7979999999999999,0.1889999999999999,0.835,0.989,0.2,0.0933,178493,0.8293929309038458,99.95357763966548,False
Stop Morning,['Buttness'],2018-01-22,0.649,0.755,0.907,0.00869,0.0346,0.0969,189741,0.8293773942313097,99.95343906545553,False
Old Stump Town,['Adventure Time'],2019-05-01,0.753,0.311,0.3989999999999999,0.0855,0.107,0.0795,54493,0.8293282170597277,99.95330049124559,False
By The Pool,['Swarvy'],2016-01-15,0.6829999999999999,0.7190000000000001,0.696,0.0896,0.108,0.0873,71888,0.8293275523013871,99.95316191703562,False
Ay Que Pesado,['Mecano'],,0.818,0.7020000000000001,0.974,0.0184,0.0409,0.0901,239373,0.8293265976016074,99.95302334282566,False
Night Nurse 2012,"['Gregory Isaacs', 'Skycru']",2018-07-23,0.772,0.5379999999999999,0.901,0.0316,0.133,0.0809,202093,0.8293095413250761,99.95288476861572,False
In Tarkovsky's Words,['Joe Jack Wagner'],2007-05-06,0.568,0.542,0.556,0.00713,0.0521,0.0954,99120,0.8292715946204127,99.95274619440576,False
In The House,['Run–D.M.C.'],1993-05-04,0.768,0.669,0.833,0.0165,0.192,0.0849,218067,0.8291690911727183,99.9526076201958,False
Death and Destruction,['BMX Bandits'],2003-09-29,0.58,0.563,0.779,0.0902,0.0326,0.0974,155200,0.8291375833250566,99.95246904598585,False
Voodoo Economics,['The Proletariat'],2006-09-17,0.617,0.664,0.575,0.00473,0.132,0.0986,171333,0.8290720630828836,99.9523304717759,False
Pan-American Blues,['Silver Jews'],1994-10-24,0.684,0.66,0.677,0.023,0.0392,0.099,181413,0.8290373433554306,99.95219189756594,False
Loud,['Eight Passengers'],2020-10-20,0.767,0.449,0.28,0.8959999999999999,0.613,0.0935,178513,0.8289214628244638,99.952053323356,False
refreshment,"['Pueblo Vista', 'saltysøul']",2020-06-08,0.625,0.92,0.833,0.0576,0.0669,0.0944,87036,0.8288597196504578,99.95191474914603,False
On That Level,['U.D.I.'],1995-08-08,0.878,0.5920000000000001,0.768,0.00419,0.183,0.0769,192000,0.8288094903957687,99.95177617493609,False
Otrobanda,['Cookin Soul'],2020-07-21,0.675,0.787,0.924,0.799,0.386,0.0886,90650,0.8286859540811156,99.95163760072613,False
Thrills,['Cake'],2007-11-13,0.6609999999999999,0.6809999999999999,0.947,0.0875,0.0508,0.0927,178973,0.828577695066912,99.95149902651617,False
Rhythm Of Love,['Soultans'],,0.8029999999999999,0.895,0.916,0.00352,0.0382,0.0981,241733,0.8285523641815544,99.95136045230623,False
Da Real Silvaback Gorillas (Screwed),['Trae Tha Truth'],2006-02-28,0.727,0.289,0.7979999999999999,0.912,0.878,0.0447,41333,0.8285315350582879,99.95122187809626,False
Bureaucracy,['Stylex'],2001-01-01,0.626,0.527,0.966,0.0125,0.0378,0.0863,166613,0.8284642100364238,99.9510833038863,False
Witch Pussy,['Clown Core'],2018-03-03,0.767,0.173,0.804,0.5870000000000001,0.541,0.0538,87454,0.8283997850104522,99.95094472967637,False
Tonedef,['Gobby'],2014-11-04,0.6970000000000001,0.667,0.742,0.1169999999999999,0.125,0.0986,228571,0.8282499655858969,99.95080615546641,False
Flipalo,['Mama Ladilla'],1998-04-27,0.562,0.7909999999999999,0.845,0.00206,0.049,0.0984,149267,0.8282429785460009,99.95066758125645,False
Friend with Benefits,['Jipsta'],2013-08-13,0.797,0.883,0.8640000000000001,0.00467,0.195,0.0938,275478,0.8282360502008602,99.9505290070465,False
In The Middle (Radio Edit),['KAZAKY'],2011-02-14,0.772,0.846,0.835,0.00926,0.0921,0.0934,200630,0.8281887246733577,99.95039043283654,False
60901,['Oddisee'],2011-05-17,0.526,0.7170000000000001,0.7170000000000001,0.00517,0.1119999999999999,0.0907,73047,0.828154158255074,99.95025185862659,False
Waiting for the Stars (feat. David Shaw),"['Vitalic', 'David Shaw']",2017-01-20,0.687,0.6779999999999999,0.747,0.0020399999999999,0.181,0.0929,232833,0.8280620229648994,99.95011328441664,False
Lady Wants a Man,['Surface'],2012-08-14,0.782,0.49,0.593,0.0621,0.154,0.0921,242733,0.8280361002147518,99.94997471020667,False
Tu Juramento,['Dulce Banda Guatemala'],2012-02-08,0.73,0.4639999999999999,0.8420000000000001,0.147,0.032,0.0929,219213,0.8279503141009187,99.94983613599673,False
Don't Let It Get You Down,['Chuck Foster'],2015-03-25,0.911,0.659,0.968,0.51,0.0472,0.0933,191900,0.8278496555712483,99.94969756178678,False
El Cumaco De San Juan,['Padu del Caribe'],1993-01-01,0.754,0.4629999999999999,0.93,0.156,0.071,0.0845,196133,0.8278362542727167,99.94955898757682,False
200,['OOIOO'],,0.415,0.8640000000000001,0.867,0.00113,0.342,0.0857,112533,0.8278201271106723,99.94942041336687,False
Love & Happiness,['Qing Qi'],2020-10-06,0.7809999999999999,0.6579999999999999,0.746,0.121,0.235,0.0802,153701,0.8277837757235871,99.94928183915691,False
Interlude: All For You,['Glenn Jones'],1990-05-15,0.688,0.2,0.848,0.0156,0.145,0.0594,53307,0.8277339747812821,99.94914326494695,False
Just Gone,['The Loud Family'],,0.631,0.652,0.929,0.0487,0.0236,0.0927,167907,0.827689398674235,99.94900469073701,False
Leakage - Original,['Noisia'],2012-04-09,0.78,0.489,0.317,0.0242,0.146,0.0852,92574,0.8276680603807792,99.94886611652706,False
Kabuki Inlet,['Birocratic'],2017-11-15,0.6829999999999999,0.835,0.852,0.00464,0.174,0.0852,138448,0.8275847288248696,99.9487275423171,False
El Chorro,['Andy Boy'],,0.862,0.863,0.785,0.126,0.128,0.0913,189880,0.8275818615279747,99.94858896810715,False
La Gran Juma,['Alex Torres'],,0.73,0.74,0.911,0.0253,0.055,0.0994,274120,0.8275551407635167,99.94845039389719,False
I Can't What?!,['Silent Rival'],2020-03-27,0.657,0.889,0.932,0.000492,0.0316,0.0974,175929,0.8275282213099214,99.94831181968723,False
Ah Jeez,['The Floozies'],2020-04-17,0.887,0.539,0.894,0.288,0.175,0.08,202000,0.8275122540350952,99.94817324547729,False
Etude,['Meerenai Shim'],2015-11-13,0.598,0.379,0.763,0.569,0.0319,0.0998,104573,0.8275106127446866,99.94803467126732,False
Servin',['Sha Hef'],2019-03-01,0.769,0.5760000000000001,0.158,0.1989999999999999,0.239,0.0986,146882,0.8274791210758833,99.94789609705738,False
Lucky,"['DP Beats', 'Chief Keef']",2019-12-20,0.523,0.475,0.653,0.0496,0.176,0.0852,97973,0.827223259835302,99.94775752284743,False
Life Sequence,['The Itchyworms'],2013-05-16,0.636,0.26,0.433,0.3339999999999999,0.387,0.0855,187427,0.827026835257651,99.94761894863747,False
Uncle Moses' Wedding Dance,['Metropolitan Klezmer'],2003-05-22,0.62,0.531,0.889,0.384,0.278,0.0819999999999999,133000,0.8269474953626974,99.94748037442751,False
Xzibit PimP My Ride,['Brown Sam & Pham'],2020-11-03,0.5660000000000001,0.498,0.899,0.062,0.217,0.0745,105722,0.8269243549570867,99.94734180021756,False
Mint,"['Allem Iversom', 'goosetaf']",2018-08-17,0.611,0.3829999999999999,0.8079999999999999,0.8909999999999999,0.8740000000000001,0.0534,60760,0.8268947941774607,99.9472032260076,False
La Rosa,['Fredi Román'],1997-08-05,0.6,0.488,0.805,0.583,0.239,0.0934,142267,0.8268404440760673,99.94706465179766,False
Loser,['Moby Rich'],2019-10-18,0.662,0.551,0.67,0.02,0.0388,0.092,143653,0.8268299114768123,99.9469260775877,False
Joder,"['Palov', 'A.Angelides', 'Daniela Bolano']",2018-12-07,0.82,0.722,0.619,0.00155,0.0678,0.0984,235240,0.8268075248280651,99.94678750337775,False
bad guy,['Billie Eilish'],2019-08-02,0.701,0.494,0.648,0.126,0.397,0.0761,191227,0.8267829706322105,99.9466489291678,False
Jan Raynio,['Great Time'],2018-04-20,0.736,0.7759999999999999,0.6890000000000001,0.486,0.25,0.0869,51835,0.8267685434252275,99.94651035495784,False
Sweetheart You've Done Me Wrong,['The Suggins Brothers'],,0.5429999999999999,0.407,0.8290000000000001,0.255,0.0334,0.0966,157053,0.8267359899334418,99.9463717807479,False
So Tight,['Rick James'],,0.8340000000000001,0.872,0.888,0.0080299999999999,0.0638,0.0973,268636,0.8267301282361982,99.94623320653793,False
We Sight,['H.R.'],1992-01-01,0.713,0.465,0.8390000000000001,0.0142,0.0562,0.093,270360,0.8266932625499599,99.94609463232797,False
Neighborhood Hoe,['DJ Paul'],2013-11-26,0.723,0.723,0.488,0.000218,0.2339999999999999,0.0938,200085,0.8265585948598965,99.94595605811803,False
More Than You Know - Jazzeem's Throwback Remix,"['Billie Holiday', 'Jazzy Nice', 'Azeem']",,0.8420000000000001,0.42,0.583,0.0743,0.1119999999999999,0.0964,311080,0.8264481355838168,99.94581748390807,False
For the Love of Zia,['Red Raven Blue'],2000-01-01,0.7,0.594,0.8390000000000001,0.146,0.0253,0.0994,233840,0.8263921084586087,99.94567890969812,False
I Never Loved a Man (The Way I Love You),['Aretha Franklin'],2015-11-06,0.716,0.235,0.716,0.3829999999999999,0.044,0.0907,164693,0.8263265512891309,99.94554033548816,False
Happy Birthday - Placebo E.P. Version,"['""Weird Al"" Yankovic']",1994-09-27,0.424,0.516,0.877,0.0311,0.206,0.0873,160173,0.8263180038298831,99.9454017612782,False
Go High Lion - Extended Version,['ECID'],2013-03-12,0.8340000000000001,0.8,0.8009999999999999,0.259,0.139,0.0969,230400,0.8262856515221731,99.94526318706825,False
Green River,['Sherman Holmes'],2017-07-21,0.778,0.695,0.79,0.131,0.0543,0.0919,171187,0.8262523770616206,99.94512461285831,False
Our Wars,['The Insyderz'],2001-01-01,0.662,0.8320000000000001,0.856,0.0229,0.0418,0.0969,171600,0.8262364062054828,99.94498603864834,False
Let It Roll,['Simon Campbell'],2011-03-26,0.753,0.5760000000000001,0.645,0.0405,0.0321,0.0961,204387,0.8261891154666949,99.9448474644384,False
Rahe Del,['Ishan'],1993-08-02,0.6990000000000001,0.508,0.877,0.00418,0.187,0.0821,236333,0.8261723194904669,99.94470889022844,False
Sentemonos,['Gomba Jahbari'],2003-06-24,0.7559999999999999,0.55,0.851,0.0211,0.176,0.0869,278467,0.8261131304625018,99.94457031601848,False
D.S.A,['Glue Ear'],2008-01-11,0.634,0.915,0.5,0.0498,0.0974,0.099,64507,0.826112168961397,99.94443174180854,False
Lonely Friend,['LUST4LUV'],2013-08-06,0.779,0.626,0.8390000000000001,0.0266,0.0339,0.0975,284000,0.8260158672372867,99.94429316759857,False
Bleach Blonde Baby,['Poppy'],2017-10-06,0.7959999999999999,0.6679999999999999,0.647,0.000523,0.0409,0.0955,209743,0.8258760331214499,99.94415459338862,False
Forever People,"['CZARFACE', 'MF DOOM']",2018-03-30,0.8290000000000001,0.525,0.482,0.0027199999999999,0.327,0.0773,200383,0.8257336880852768,99.94401601917868,False
L'animalerie,['Henri Godon'],2015-04-07,0.654,0.847,0.894,0.203,0.0477,0.0956,115839,0.8256887596175011,99.94387744496872,False
It's alarming,"[""Canox A.K.A O'Eternal""]",2009-03-13,0.883,0.696,0.7929999999999999,0.0117,0.26,0.0786,246067,0.8256620675008255,99.94373887075876,False
Me Flecho Cupido,['Maricelys'],,0.8440000000000001,0.6659999999999999,0.932,0.0267,0.0681,0.0878,257533,0.8256144078407047,99.94360029654881,False
Bring It on Home,['Willie Dixon'],2017-06-01,0.81,0.765,0.8590000000000001,0.2319999999999999,0.0703,0.0913,164211,0.8255752990606079,99.94346172233885,False
Blue Of Your Backdrop,['Honk'],,0.647,0.467,0.389,0.121,0.0346,0.0997,122040,0.8255338608109805,99.94332314812891,False
"A02 High Resolution, Tectonic",['DJ /Rupture'],2005-01-01,0.644,0.665,0.462,0.155,0.285,0.0971,194747,0.8254712981303404,99.94318457391896,False
Цирк (Суд Идет),['Jah Khalib'],2019-10-29,0.841,0.524,0.818,0.0231,0.0565,0.0788,168137,0.8253513033571674,99.94304599970899,False
Contra - Snowfields,['The Advantage'],2016-07-06,0.574,0.78,0.924,0.0151,0.0311,0.087,70213,0.8253428022373863,99.94290742549904,False
I Never Loved a Man (The Way I Love You),['Aretha Franklin'],2014-02-03,0.715,0.235,0.7170000000000001,0.389,0.0439,0.0904,164693,0.8253133866202205,99.94256098997415,False
I Never Loved a Man (The Way I Love You),['Aretha Franklin'],2007-04-09,0.715,0.235,0.7170000000000001,0.389,0.0439,0.0904,164693,0.8253133866202205,99.94256098997415,False
I Never Loved a Man (The Way I Love You),['Aretha Franklin'],1985-10-16,0.715,0.235,0.7170000000000001,0.389,0.0439,0.0904,164693,0.8253133866202205,99.94256098997415,False
I Never Loved a Man (The Way I Love You),['Aretha Franklin'],2007-10-29,0.715,0.235,0.7170000000000001,0.389,0.0439,0.0904,164693,0.8253133866202205,99.94256098997415,False
Remember Me,['The Diary'],,0.573,0.579,0.608,0.0154,0.031,0.0992,149827,0.825279988316342,99.94221455444927,False
Nipnop,['Mabel Ye'],2016-07-25,0.893,0.374,0.773,0.472,0.0713,0.0778,90000,0.8252790296173955,99.94207598023932,False
Just Lippin',"['Clarence ""Gatemouth"" Brown']",,0.569,0.488,0.779,0.0671,0.0463,0.0958,190733,0.825233929759145,99.94193740602937,False
I'm Looking Through You,['The Wallflowers'],2002-01-08,0.5710000000000001,0.8690000000000001,0.958,0.0301,0.032,0.098,159227,0.8252050429716621,99.94179883181941,False
Hold On,['Melissa Ferrick'],2000-03-24,0.746,0.83,0.804,0.103,0.0382,0.0997,202067,0.8251356672985765,99.94166025760946,True
Recognize,['The Fingerbangerz'],2003-10-21,0.763,0.915,0.71,0.0148,0.204,0.0879,159707,0.8249936779819698,99.9415216833995,False
Just a Phase,['Diazpora'],2014-05-23,0.927,0.489,0.963,0.0754,0.0474,0.0758,217093,0.8249224367930648,99.94138310918956,False
Chitlins Con Carne,['Stevie Ray Vaughan'],,0.7340000000000001,0.3979999999999999,0.5670000000000001,0.0447,0.0342,0.0967,236173,0.8249176759722755,99.94124453497959,False
Green Belly,['Ty Segall'],2014-07-22,0.703,0.541,0.962,0.142,0.0336,0.0841,151933,0.8249093502299643,99.94110596076963,False
Tin Foil Boats,['Nana Grizol'],2019-05-10,0.532,0.532,0.374,0.026,0.0947,0.0936,49507,0.8248805487888998,99.94096738655969,False
Big 5,['Bad Manners'],2012-09-17,0.684,0.685,0.71,0.0176,0.047,0.0992,213627,0.8247670045260471,99.94082881234974,False
Fall In Love Again,['Charlotte Park Rangers'],2010-01-15,0.743,0.359,0.6679999999999999,0.0121,0.0337,0.0901,229147,0.824755925340286,99.94069023813978,False
Please Give Me A Copy,['Eats Tapes'],2005-06-28,0.759,0.23,0.237,0.787,0.805,0.0585,43000,0.8247325491089404,99.94055166392982,False
A Dog in the House,['Pascale Picard'],2014-04-08,0.71,0.627,0.564,0.0685,0.0753,0.094,146118,0.824700536130229,99.94041308971987,False
Return To The Air,['B. Dolan'],,0.7040000000000001,0.4479999999999999,0.216,0.8009999999999999,0.488,0.0966,136027,0.8246061724621868,99.94027451550991,False
Jeffrey Dahmer au musée d'art contemporain,['VioleTT Pi'],2013-02-05,0.7909999999999999,0.449,0.6409999999999999,0.115,0.0731,0.0917,225000,0.8245953604718748,99.94013594129997,False
Dancing,['Katie Dey'],2020-07-24,0.745,0.565,0.754,0.211,0.051,0.0927,174538,0.8244823629875403,99.93999736709,False
Don't Even Care,['Salvador Santana'],2010-02-02,0.8140000000000001,0.769,0.958,0.0821,0.0337,0.0882,194200,0.8244614894227557,99.93985879288006,False
Gettin' Funkier All the Time,['The Meters'],,0.52,0.5670000000000001,0.913,0.16,0.142,0.0937,198760,0.8244417466996087,99.9397202186701,False
Blue Cheese,['10an'],2020-11-19,0.748,0.718,0.317,0.105,0.246,0.0937,144000,0.8243347412079043,99.93958164446015,False
Pass a Good Time (feat. Anders Osborne),['Big Al and the Heavyweights'],2013-04-22,0.6659999999999999,0.926,0.921,0.0951,0.0438,0.0991,177373,0.8243024615508194,99.9394430702502,False
Robots,['Marianne Nowottny'],2001-01-01,0.379,0.4589999999999999,0.84,0.237,0.0534,0.0991,122800,0.8242057156333085,99.93930449604024,False
Hard Times,['Ralph Archenhold'],2010-11-29,0.809,0.469,0.693,0.257,0.0437,0.0957,227760,0.8240415311546316,99.93916592183028,False
"Concerto in G Minor, Op. 3 No. 6: III. Giga. Allegro - Live","['Pietro Castrucci', 'Concerto Köln', 'Jesús Merino-Ruiz']",2020-08-28,0.609,0.122,0.7170000000000001,0.934,0.0568,0.0989,87500,0.8240297122659792,99.93902734762034,False
It's Automatic,['Air Supply'],1977-07-01,0.6459999999999999,0.727,0.895,0.105,0.0473,0.0945,174454,0.8240041216764951,99.93888877341038,False
Ushanka,['Uamee'],2017-10-08,0.767,0.938,0.648,0.278,0.2189999999999999,0.0983,174279,0.8239949526274103,99.93875019920043,False
Challenge 1,['Deniz Akbulut'],2018-09-20,0.53,0.445,0.441,0.1119999999999999,0.0489,0.0993,105520,0.8239946557647889,99.93861162499047,False
Incipio,['Lord'],2013-02-22,0.2289999999999999,0.147,0.47,0.34,0.111,0.0998,39457,0.8238533918103654,99.93847305078052,False
Theme From Hogan's Heroes,['Bob Crane'],1994-05-31,0.868,0.415,0.967,0.236,0.083,0.071,144173,0.8238505301214999,99.93833447657056,False
PLAY,['Tokyo Machine'],2019-12-12,0.74,0.934,0.617,0.00207,0.1639999999999999,0.0964,183950,0.823826554044555,99.93805732815065,False
PLAY,['Tokyo Machine'],2019-02-28,0.74,0.934,0.617,0.00207,0.1639999999999999,0.0964,183950,0.823826554044555,99.93805732815065,False
PLAY,['Tokyo Machine'],2019-07-31,0.74,0.934,0.617,0.00207,0.1639999999999999,0.0964,183950,0.823826554044555,99.93805732815065,False
We Belong Forever - Bossa Mix,['Urban Love'],2019-02-22,0.826,0.621,0.927,0.0927,0.0397,0.0802,158328,0.8238047880462205,99.93778017973075,False
Cracked,['Voldy Moyo'],2019-10-30,0.8220000000000001,0.381,0.1939999999999999,0.085,0.4039999999999999,0.0664,69565,0.8236936977490781,99.9376416055208,False
Stop Guessin',['Rashinel'],2004-11-19,0.611,0.412,0.7979999999999999,0.0134,0.337,0.0609,84627,0.8236695798252546,99.93750303131085,False
The President Plays,['A.C. Reed'],1999-01-01,0.7490000000000001,0.8220000000000001,0.911,0.16,0.252,0.0855,214093,0.8236396550821342,99.93736445710088,False
A Good Energy,['The Violet Jive'],2008-01-01,0.723,0.59,0.8809999999999999,0.1169999999999999,0.0686,0.0895,208360,0.8235503121813413,99.93722588289093,False
Shelby Jenkins,['Chris And Tad'],,0.46,0.381,0.884,0.0126,0.0299,0.0768,31893,0.823525340838899,99.93708730868099,False
"Concors discordia, Serenade à 5 in F Major, Op. 2 No. 5: IV. Rondeau","['Benedict Anton Aufschnaiter', ""L'Orfeo Barockorchester"", 'Michi Gaigg']",2000-01-01,0.638,0.3879999999999999,0.935,0.6970000000000001,0.0386,0.0912,76333,0.8234874585980516,99.93694873447103,False
Phone Home,['Video Dave'],2020-10-31,0.452,0.6609999999999999,0.546,0.25,0.37,0.0923,117354,0.8234521106709375,99.93681016026107,False
Bizzarro Why I Like Women,['Mike Connelly'],2006-01-01,0.626,0.302,0.931,0.182,0.0547,0.0822,167187,0.8233774603727816,99.93667158605112,False
Droogs,['Cavalier'],2016-12-16,0.551,0.733,0.629,0.0708,0.382,0.0884,190088,0.8233088018513504,99.93653301184116,False
Creepy Christmas,"['Aquadrop', 'Big Fish', 'KG Man']",2016-11-25,0.913,0.843,0.698,0.0039299999999999,0.0485,0.0925,214042,0.8232863106489958,99.93639443763122,False
Handful Of Air,['The Herrmannators'],2008-05-30,0.77,0.481,0.7240000000000001,0.118,0.125,0.0917,268093,0.8232823335761098,99.93625586342127,False
Inferno,"['UZ', 'Oski', 'Craze']",2017-06-30,0.7829999999999999,0.905,0.315,0.174,0.467,0.0925,204800,0.8232791070894958,99.9361172892113,False
Pass Me the Sensi,['Stick Figure'],2006-01-01,0.951,0.469,0.866,0.108,0.0621,0.0707,159133,0.8232790347562609,99.93597871500135,False
Sunrise,['Hypheria'],2019-11-09,0.8420000000000001,0.581,0.614,0.0065,0.0786,0.085,175187,0.8232447986868648,99.9358401407914,False
I'm Hungry,['Hullabaloo'],2011-04-19,0.8370000000000001,0.8079999999999999,0.962,0.482,0.0299,0.092,118453,0.8232170118238452,99.93570156658144,False
Chasidic In America,['Dave Tarras'],2005-06-20,0.757,0.233,0.7340000000000001,0.993,0.4629999999999999,0.0855,218187,0.8231956485639921,99.93556299237149,False
We Will Become Silhouettes - Remastered,['The Shins'],2003-02-19,0.736,0.795,0.928,0.213,0.0289999999999999,0.0958,181440,0.8230868433230301,99.93542441816153,False
It's Like -feat. Notthesame,['AES'],2003-01-01,0.529,0.732,0.77,0.0812,0.302,0.0861,154307,0.8230763676603523,99.93528584395158,False
Theme From The Neil Miller Show,['Lambchop'],1998-09-08,0.435,0.5529999999999999,0.884,0.107,0.0527,0.0978,165360,0.8230187726072719,99.93514726974163,False
First Light of Dawn,['Strawberry Whiplash'],2012-03-26,0.648,0.486,0.66,0.1009999999999999,0.0281,0.0964,186173,0.8229391408758028,99.93500869553168,False
Mexican Hat,['Wedgetail Eagle'],2006-03-07,0.5429999999999999,0.6459999999999999,0.946,0.22,0.0334,0.096,145868,0.8228826871100943,99.93487012132172,False
Richard III,['Would-Be-Goods'],2006-01-25,0.665,0.618,0.969,0.377,0.0302,0.0906,116760,0.8228733322534245,99.93473154711177,False
Nomansland,['Popnoname'],2006-10-01,0.8009999999999999,0.705,0.8420000000000001,0.0022,0.0771,0.0839,184013,0.8227935533778101,99.93459297290181,False
Dust Bowl,['The Magnetic Fields'],1994-04-18,0.773,0.0888,0.826,0.813,0.0674,0.0871,139533,0.8227483670933726,99.93445439869187,False
Rock Them Bells,"['Wuki', 'Jesse Slayter']",2014-11-25,0.7959999999999999,0.872,0.69,0.000951,0.0365,0.0975,195000,0.8226513513975527,99.9343158244819,False
Cataplin Hello,['Maria Del Rey'],,0.7440000000000001,0.564,0.6659999999999999,0.362,0.0573,0.0933,120200,0.822616038058335,99.93417725027194,False
Seven,['Play'],2004-03-09,0.7290000000000001,0.8859999999999999,0.95,0.0426,0.038,0.0934,192027,0.8225271771009462,99.934038676062,False
Rock-a-Bye Boogie (Live),['Bluegrass Champs'],,0.7040000000000001,0.439,0.962,0.588,0.121,0.0856,129641,0.8224596763902569,99.93390010185205,False
Trying to Get By,['Shake Mamas'],2017-11-09,0.624,0.631,0.8190000000000001,0.0003259999999999,0.0373,0.0909,165828,0.822329823537705,99.93376152764209,False
This Isn't Good,['The Alchemist'],2020-10-25,0.54,0.519,0.88,0.8029999999999999,0.0541,0.0994,38640,0.8223051408086101,99.93362295343213,False
When We Drive - Chong the Nomad Remix,"['Death Cab for Cutie', 'Chong the Nomad']",2019-06-07,0.928,0.517,0.7879999999999999,0.0242,0.225,0.0693,219013,0.8223044102474666,99.93348437922218,False
My Man Is a Cheater,['Krishunda Echols'],2012-02-05,0.8290000000000001,0.7190000000000001,0.879,0.0664,0.102,0.0948,311453,0.8222555113593407,99.93334580501224,False
Zulkifar,['Secret Chiefs 3'],,0.757,0.14,0.298,0.525,0.0554,0.092,75067,0.8222272991598605,99.93320723080228,False
You Can Keep It,['Joe Blessett'],2010-04-15,0.687,0.247,0.583,0.0428,0.0684,0.0894,226093,0.8221731084123655,99.93306865659231,False
P (is my favorite letter),"[""Mike O'Neill""]",2005-01-01,0.591,0.708,0.964,0.221,0.271,0.0696,34253,0.8221284442163979,99.93293008238237,False
Never Been Done,['Ron Sexsmith'],2001-01-01,0.608,0.535,0.802,0.0128,0.0263,0.0909,172800,0.8221136090771712,99.93279150817241,False
She's All Mine.,['Katch 22'],2015-01-30,0.716,0.565,0.936,0.222,0.0304,0.0911,200377,0.8220638762683247,99.93265293396246,False
006,['U-Roy'],2012-11-13,0.888,0.672,0.853,0.0723,0.161,0.0734,165512,0.8220053999119197,99.93251435975252,False
Outro,['Gravediggaz'],1997-10-14,0.807,0.622,0.414,0.000788,0.181,0.0777,77400,0.8218279814187825,99.93237578554255,False
Skit,['Lord Infamous'],2012-07-20,0.494,0.241,0.5820000000000001,0.645,0.264,0.0851,33500,0.8218117845837706,99.93223721133259,False
"Da, Da, Da (Tsismis)",['Yoyoy Villame'],2009-04-08,0.938,0.359,0.888,0.0698,0.3670000000000001,0.0511,194400,0.8217496253643101,99.93209863712265,False
BOOM BOOM,['Teddi Gold'],2020-06-30,0.851,0.726,0.787,0.0967,0.094,0.0813,144584,0.8217039273232757,99.9319600629127,False
By Chance,['Gregory Isaacs'],,0.821,0.4539999999999999,0.644,0.0173,0.0998,0.0839,219253,0.8216577271432386,99.93182148870274,False
Conspiracy Theories,['The Psycho Realm'],1999-01-01,0.841,0.607,0.4529999999999999,0.0674,0.1159999999999999,0.0993,268880,0.8216170289792925,99.93168291449278,False
Lost Kings,['K.A.A.N.'],2020-11-20,0.593,0.762,0.246,0.176,0.353,0.0998,151000,0.8216008664488783,99.93154434028283,False
Got to Find My Way Back to You - Single Version,['Tavares'],2010-11-05,0.889,0.64,0.6970000000000001,0.193,0.043,0.0947,235053,0.8215790331782883,99.93140576607288,False
"Son de la calle - Totonaca, voladores de Papantla, Veracruz",['Voladores de Papántla'],2010-08-20,0.613,0.635,0.969,0.872,0.449,0.0927,213387,0.8214567468298729,99.93126719186293,False
Titties,['The Trucks'],,0.747,0.59,0.963,0.00614,0.0373,0.0887,262613,0.8214365508494724,99.93112861765296,False
Alabama Jubilee,['Johnny Gimble'],2008-04-08,0.5589999999999999,0.359,0.731,0.509,0.0359,0.0984,117667,0.8214363893117136,99.93099004344302,False
Live Clean,['Gregory Isaacs'],2016-11-04,0.7829999999999999,0.636,0.628,0.0722,0.076,0.0944,217104,0.8214344698269075,99.93085146923306,False
Lies - Original Mix,['Mystic'],2020-09-12,0.6609999999999999,0.481,0.613,0.00712,0.044,0.0933,192000,0.8213915017768816,99.9307128950231,False
Time,['Clea De Sebrock'],2020-05-29,0.8059999999999999,0.7509999999999999,0.792,0.000175,0.073,0.0895,217385,0.8213102644298597,99.93057432081315,False
Love Is in the Feel (7 Inch Version),['Roy Ayers'],2012-06-15,0.802,0.67,0.913,0.0788,0.0469,0.089,235747,0.8213084418800503,99.9304357466032,False
Whiskey & Good Time Blues,['Big Bill Broonzy'],1990-08-28,0.708,0.0477,0.7859999999999999,0.993,0.0647,0.0982,171867,0.8212601743157241,99.93029717239324,False
